"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"87","Moderate","Male","Old","High","White",0.999814636849315,0.666861331438184
"88","Liberal","Female","Old","High","White",0.998065290674748,0.786994437496505
"89","Conservative","Female","Old","Low","White",0.979011513963088,0.843237086372333
"90","Moderate","Female","Old","High","White",0.998946943731748,0.770148640700629
"91","Moderate","Female","Middle-aged","Moderate","White",0.992593513073907,0.788292832294182
"92","Liberal","Male","Old","High","White",0.999835106674773,0.649418991163786
"93","Moderate","Male","Old","Moderate","White",0.997998027389469,0.736834811007919
"94","Very conservative","Female","Old","High","White",0.99417738284126,0.802600565474012
"95","Moderate","Male","Old","Moderate","Black",0.992745414504892,0.714180267538026
"96","Very conservative","Female","Old","High","White",0.995351446539699,0.809025990442705
"97","Conservative","Male","Old","High","White",0.999269887611666,0.700783017053979
"98","Liberal","Female","Old","High","White",0.997072990137926,0.774101216958413
"99","Moderate","Female","Old","Low","White",0.97909051067888,0.829832933923729
"100","Moderate","Male","Middle-aged","Low","White",0.986127939213573,0.696305407188229
"101","Moderate","Female","Old","Moderate","White",0.992418508847778,0.812129802935717
"102","Moderate","Male","Old","High","White",0.999519619853469,0.695984076180055
"103","Liberal","Male","Old","High","Hispanic",0.999267732618642,0.642758167781092
"104","Very liberal","Female","Old","High","White",0.999428327358857,0.754455795760084
"105","Very conservative","Male","Old","Moderate","White",0.997709127662165,0.74060224835358
"106","Conservative","Female","Old","Low","White",0.975675676126675,0.839584041752963
"107","Liberal","Female","Old","High","White",0.998751309741918,0.77433393446736
"108","Moderate","Male","Old","High","White",0.999611421734863,0.671113352835481
"109","Conservative","Male","Middle-aged","Low","White",0.989665607445741,0.727621846374441
"110","Conservative","Female","Old","Moderate","White",0.993835461588712,0.809529671496394
"111","Conservative","Male","Old","Moderate","White",0.998434011329497,0.734870167347545
"112","Very conservative","Female","Old","Moderate","White",0.993330037929662,0.822202039099398
"113","Liberal","Female","Old","High","White",0.999487505319261,0.775759341202028
"114","Very liberal","Female","Middle-aged","High","White",0.994876389849323,0.737086699164042
"115","Moderate","Female","Old","Low","White",0.985020531672656,0.838355451837543
"116","Moderate","Female","Old","High","White",0.999023406508366,0.772562827474247
"117","Moderate","Male","Old","Moderate","White",0.998211888086049,0.740796924122146
"118","Moderate","Female","Old","Moderate","White",0.994167952388161,0.819330626112375
"119","Conservative","Male","Middle-aged","High","White",0.999093070682456,0.623547390191687
"120","Very liberal","Male","Middle-aged","High","White",0.999478614059593,0.613566937114805
"121","Very conservative","Female","Old","High","Hispanic",0.984886785463958,0.812953612023342
"122","Conservative","Male","Middle-aged","High","White",0.999035831353118,0.656341229099258
"123","Conservative","Male","Old","Moderate","White",0.998411652815389,0.703367726181107
"124","Conservative","Female","Old","Moderate","White",0.994889850663362,0.814750520181822
"125","Liberal","Female","Old","High","Asian",0.994876518301162,0.787633780256693
"126","Conservative","Male","Middle-aged","High","White",0.998561133463395,0.674329317762842
"127","Conservative","Male","Middle-aged","Moderate","White",0.993054624985008,0.711317168162086
"128","Moderate","Female","Old","Moderate","White",0.997507829548897,0.819527611951172
"129","Conservative","Female","Old","Moderate","White",0.989735550839908,0.818649498738209
"130","Conservative","Male","Old","High","White",0.999813921661028,0.688280604408233
"131","Moderate","Female","Middle-aged","High","White",0.997588199496619,0.742418342144269
"132","Liberal","Female","Old","High","White",0.999280436962139,0.764862170933946
"133","Conservative","Male","Old","High","Hispanic",0.997417833763475,0.703279630148339
"134","Moderate","Female","Old","High","White",0.998198743641434,0.805128480384326
"135","Moderate","Male","Old","High","White",0.999494028593645,0.660453272039146
"136","Moderate","Female","Old","Moderate","White",0.994302805880253,0.796177997565187
"137","Conservative","Male","Old","Moderate","White",0.998633844638129,0.709047768921326
"138","Moderate","Male","Old","High","White",0.999648030956557,0.640531143380413
"139","Conservative","Female","Middle-aged","High","White",0.997917354289686,0.76567041459759
"140","Very conservative","Female","Old","High","White",0.998669578018541,0.796445464275609
"141","Liberal","Female","Old","High","White",0.997072990137926,0.774101216958413
"142","Moderate","Male","Old","Low","White",0.994552490251098,0.731230245180924
"143","Conservative","Female","Old","High","White",0.998643174022964,0.804615969810247
"144","Liberal","Male","Old","High","White",0.999532588915242,0.641282176374665
"145","Moderate","Male","Old","High","Hispanic",0.998844461611674,0.646409536571577
"146","Conservative","Male","Old","High","Hispanic",0.997939851833313,0.711777005326711
"147","Moderate","Male","Old","High","White",0.999729702845976,0.651486634405236
"148","Moderate","Female","Old","Low","White",0.974858586640422,0.824945822102102
"149","Liberal","Male","Old","High","White",0.999125199837167,0.650370459495486
"150","Moderate","Female","Middle-aged","High","White",0.998146954476525,0.751473450307829
"151","Liberal","Female","Old","High","White",0.998884790981752,0.777901649910341
"152","Conservative","Female","Old","Moderate","Hispanic",0.983014950280591,0.839706443980128
"153","Conservative","Male","Old","Moderate","White",0.996330789119404,0.734610701082489
"154","Conservative","Female","Old","High","Hispanic",0.996121357215022,0.787899679696379
"155","Very conservative","Male","Old","High","White",0.999587555385752,0.678400927853218
"156","Liberal","Female","Middle-aged","High","White",0.998412232962707,0.738037543970583
"157","Liberal","Female","Old","Low","White",0.98472738678998,0.845170752466008
"158","Very conservative","Male","Old","Moderate","White",0.997676443655722,0.709511661487914
"159","Moderate","Female","Old","High","Black",0.999119076273625,0.796128498122978
"160","Very conservative","Male","Old","High","White",0.998500134874199,0.694036236900258
"161","Liberal","Female","Old","High","White",0.99718106047639,0.775295823806618
"162","Liberal","Female","Old","High","White",0.998335853887328,0.791547732218347
"163","Moderate","Male","Old","Moderate","White",0.998993300887854,0.700031591368109
"164","Conservative","Male","Old","High","White",0.998974983165397,0.687709056287388
"165","Liberal","Female","Old","High","White",0.99959128415521,0.782822043255578
"166","Liberal","Male","Old","High","Hispanic",0.999294826525448,0.64432821647763
"167","Moderate","Male","Old","Low","White",0.997332613833644,0.7560077195722
"168","Conservative","Male","Old","High","White",0.999556952179147,0.653548588672032
"169","Moderate","Female","Middle-aged","High","White",0.994221805141033,0.769676969021921
"170","Liberal","Male","Old","Moderate","White",0.999034262118241,0.680533079881695
"171","Very conservative","Female","Old","Moderate","White",0.989933550923153,0.810927942351356
"172","Moderate","Female","Old","High","White",0.999160092893738,0.777337336111105
"173","Moderate","Female","Old","High","White",0.998698362881645,0.789875064170791
"174","Liberal","Male","Old","High","White",0.999841211066766,0.650975662048078
"175","Very liberal","Female","Middle-aged","High","Hispanic",0.99351484058512,0.715506748887736
"176","Very liberal","Female","Young","Low","Hispanic",0.82239686496338,0.770050893541259
"177","Moderate","Female","Old","Moderate","White",0.995096956298102,0.800584723798187
"178","Moderate","Female","Old","Moderate","White",0.984809574963206,0.816071488211013
"179","Moderate","Female","Old","Low","White",0.983865414847064,0.836491830685848
"180","Conservative","Female","Old","Low","White",0.985512268675685,0.852073416567638
"181","Liberal","Male","Middle-aged","High","White",0.999635907302394,0.616035856850651
"182","Very conservative","Female","Old","High","White",0.998474963600147,0.816518406385097
"183","Very liberal","Non-binary","Young","High","White",0.989239355826516,0.805123475333736
"184","Very liberal","Male","Old","High","White",0.999899411849269,0.647345721220757
"185","Conservative","Male","Old","High","White",0.999766660496118,0.679402523268922
"186","Liberal","Male","Old","High","White",0.999873374485665,0.660247286139387
"187","Conservative","Female","Old","High","White",0.995704358154817,0.795647921973159
"188","Conservative","Male","Old","Moderate","White",0.998311479618669,0.732194574848227
"189","Conservative","Male","Old","Moderate","White",0.998684361532649,0.710457718534783
"190","Moderate","Male","Old","Low","White",0.996396189854716,0.7457667251562
"191","Liberal","Female","Middle-aged","High","White",0.997686199992156,0.724591081372358
"192","Very liberal","Female","Old","Low","White",0.99295428643346,0.83016380175228
"193","Moderate","Male","Old","High","White",0.999767557289495,0.657676618718715
"194","Moderate","Male","Middle-aged","High","White",0.998719851597723,0.657076914637172
"195","Moderate","Female","Old","High","White",0.998679773674794,0.762798677968827
"196","Conservative","Male","Middle-aged","Moderate","White",0.996278513628725,0.703089886479454
"197","Very liberal","Female","Middle-aged","High","White",0.997514867808957,0.701738874856035
"198","Liberal","Male","Middle-aged","Moderate","White",0.998363317453548,0.659350798696449
"199","Moderate","Male","Old","Moderate","White",0.998707866136396,0.722245163223217
"200","Very liberal","Male","Old","High","White",0.999863976042984,0.634747387142431
"201","Conservative","Male","Middle-aged","Moderate","Hispanic",0.979610102893332,0.688230311571848
"202","Liberal","Female","Old","Moderate","White",0.996517084660986,0.794698260644872
"203","Very liberal","Female","Middle-aged","High","Hispanic",0.993983354605008,0.718284918124033
"204","Moderate","Female","Old","High","White",0.995878589939495,0.780415063716956
"205","Very conservative","Male","Old","Moderate","White",0.994219702735867,0.737706356186121
"206","Very conservative","Female","Middle-aged","Moderate","White",0.970256729461251,0.826768689321749
"207","Liberal","Female","Old","High","White",0.998601874270597,0.770725799804727
"208","Moderate","Male","Middle-aged","Low","White",0.990796527186561,0.711986808305956
"209","Very liberal","Male","Middle-aged","Moderate","White",0.996180197718062,0.636684190111079
"210","Very liberal","Male","Middle-aged","Moderate","Hispanic",0.988874568685157,0.647292208375294
"211","Very liberal","Male","Young","Moderate","Asian",0.989134033697829,0.634397905437816
"212","Moderate","Female","Old","Low","White",0.991112550609581,0.850923495777997
"213","Very liberal","Male","Young","Moderate","Hispanic",0.987085652325444,0.641016943846787
"214","Very liberal","Female","Old","High","White",0.9993352643776,0.749348850440178
"215","Moderate","Male","Old","High","Black",0.998707013116539,0.68334638413569
"216","Conservative","Female","Old","High","White",0.995539928347272,0.794532839431608
"217","Very liberal","Male","Young","High","Hispanic",0.997564478536945,0.567158721940308
"218","Liberal","Male","Old","Moderate","White",0.998958648399969,0.677549745407172
"219","Moderate","Male","Middle-aged","Moderate","White",0.996429541100595,0.683700347172805
"220","Very liberal","Male","Young","High","White",0.998444431615467,0.56558148765865
"221","Moderate","Female","Middle-aged","Moderate","Black",0.988715250933257,0.795479489826504
"222","Moderate","Male","Middle-aged","Moderate","Hispanic",0.989047349230832,0.657923529953547
"223","Conservative","Male","Old","High","White",0.999084576302924,0.6921017263185
"224","Moderate","Female","Old","High","Hispanic",0.991427576334405,0.798322393058226
"225","Conservative","Female","Old","Low","White",0.988413189580474,0.857175049724392
"226","Conservative","Male","Old","Moderate","White",0.998824990915526,0.714663170261977
"227","Liberal","Male","Young","Moderate","White",0.994941308520298,0.611844824714262
"228","Moderate","Male","Old","High","Hispanic",0.997702376536651,0.686848662414973
"229","Moderate","Male","Young","Moderate","White",0.992148555328654,0.651831469373113
"230","Very conservative","Male","Middle-aged","High","White",0.998456997821639,0.624075328905862
"231","Conservative","Male","Middle-aged","High","White",0.996706224855049,0.640436067227974
"232","Moderate","Female","Young","Moderate","White",0.981880288210635,0.759584409276917
"233","Moderate","Male","Old","Low","Black",0.989602618793308,0.731730204661232
"234","Liberal","Male","Old","High","White",0.999793225079384,0.640012984111775
"235","Conservative","Male","Middle-aged","High","White",0.998627187132421,0.605717321285348
"236","Moderate","Female","Middle-aged","High","White",0.995556997542565,0.778060281998399
"237","Liberal","Female","Middle-aged","High","White",0.99445583464324,0.753108901833641
"238","Conservative","Female","Old","Low","White",0.976555196445867,0.840503709314713
"239","Conservative","Male","Middle-aged","Moderate","Black",0.996041737123595,0.693816283124951
"240","Conservative","Male","Middle-aged","High","Black",0.998934910618437,0.644775887025361
"241","Moderate","Male","Old","Low","White",0.997230337493787,0.754743008587478
"242","Moderate","Male","Middle-aged","High","White",0.998511627118575,0.650881842699219
"243","Moderate","Female","Young","High","Asian",0.991060791274527,0.731214954671625
"244","Conservative","Male","Old","Moderate","White",0.997445124653578,0.717176368823906
"245","Liberal","Male","Middle-aged","Moderate","White",0.994204486946051,0.641937616131936
"246","Moderate","Female","Middle-aged","High","White",0.998281404813071,0.75402113861455
"247","Liberal","Male","Middle-aged","High","White",0.998517340226678,0.62828064358098
"248","Moderate","Female","Old","Low","White",0.965524215390128,0.838174958657991
"249","Very liberal","Female","Middle-aged","High","White",0.998161147870864,0.713071041676278
"250","Very liberal","Non-binary","Young","Low","White",0.830322541842293,0.859072906161476
"251","Very conservative","Male","Old","Low","White",0.990006405741847,0.747911473768077
"252","Moderate","Female","Middle-aged","High","White",0.998075842388012,0.750193002428307
