"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"87","Moderate","Male","Old","High","White",0.957666120470843,0.22405876987215
"88","Liberal","Female","Old","High","White",0.950876418002731,0.0991902819761538
"89","Conservative","Female","Old","Low","White",0.922455194478526,0.0284164103346807
"90","Moderate","Female","Old","High","White",0.950806538781686,0.138316189696757
"91","Moderate","Female","Middle-aged","Moderate","White",0.915665585766532,0.0732546294551286
"92","Liberal","Male","Old","High","White",0.957836198015337,0.253918195786945
"93","Moderate","Male","Old","Moderate","White",0.939271359413067,0.0739315217149822
"94","Very conservative","Female","Old","High","White",0.920744027788214,0.0685422875792365
"95","Moderate","Male","Old","Moderate","Black",0.854677550404289,0.0596061287113667
"96","Very conservative","Female","Old","High","White",0.930982481721049,0.0668386323253604
"97","Conservative","Male","Old","High","White",0.940668191338076,0.13184149521026
"98","Liberal","Female","Old","High","White",0.936385159338705,0.10370126064946
"99","Moderate","Female","Old","Low","White",0.917260599235324,0.0337606159031106
"100","Moderate","Male","Middle-aged","Low","White",0.84444356294191,0.0685322902463808
"101","Moderate","Female","Old","Moderate","White",0.93134771649552,0.0547403010609195
"102","Moderate","Male","Old","High","White",0.951052571181151,0.147238699134595
"103","Liberal","Male","Old","High","Hispanic",0.871163139055775,0.158454632869621
"104","Very liberal","Female","Old","High","White",0.961540254217725,0.175715359136683
"105","Very conservative","Male","Old","Moderate","White",0.928066352556566,0.0721330245182807
"106","Conservative","Female","Old","Low","White",0.915025109499343,0.0289175556136013
"107","Liberal","Female","Old","High","White",0.953211198349499,0.125140477660406
"108","Moderate","Male","Old","High","White",0.946271675974445,0.187277233455019
"109","Conservative","Male","Middle-aged","Low","White",0.876676914175473,0.0560781935698677
"110","Conservative","Female","Old","Moderate","White",0.929552294640427,0.0607634618435985
"111","Conservative","Male","Old","Moderate","White",0.93910864129598,0.081545771083269
"112","Very conservative","Female","Old","Moderate","White",0.930895424450886,0.0518123690551077
"113","Liberal","Female","Old","High","White",0.966563597607999,0.149695307768333
"114","Very liberal","Female","Middle-aged","High","White",0.904239233620769,0.128821047447727
"115","Moderate","Female","Old","Low","White",0.932752929712359,0.03246427171189
"116","Moderate","Female","Old","High","White",0.953083965398809,0.137247132264053
"117","Moderate","Male","Old","Moderate","White",0.943394554083576,0.0730126368355692
"118","Moderate","Female","Old","Moderate","White",0.941687439599132,0.053133223158716
"119","Conservative","Male","Middle-aged","High","White",0.89508170497926,0.226000642726951
"120","Very liberal","Male","Middle-aged","High","White",0.926111716398401,0.254241655198117
"121","Very conservative","Female","Old","High","Hispanic",0.830506629837708,0.0368185011104617
"122","Conservative","Male","Middle-aged","High","White",0.91226050094558,0.17687631091285
"123","Conservative","Male","Old","Moderate","White",0.923312285837546,0.108524113130091
"124","Conservative","Female","Old","Moderate","White",0.937280864880712,0.0594921177854889
"125","Liberal","Female","Old","High","Asian",0.895438076107715,0.0649435482250922
"126","Conservative","Male","Middle-aged","High","White",0.91013648070607,0.141391198573552
"127","Conservative","Male","Middle-aged","Moderate","White",0.87948706867981,0.0719463260457008
"128","Moderate","Female","Old","Moderate","White",0.957175172422684,0.0648746947710386
"129","Conservative","Female","Old","Moderate","White",0.922648694880342,0.0478474563147055
"130","Conservative","Male","Old","High","White",0.960433376709416,0.194659671023595
"131","Moderate","Female","Middle-aged","High","White",0.917875117671347,0.150541908440954
"132","Liberal","Female","Old","High","White",0.958514101495424,0.154923291716846
"133","Conservative","Male","Old","High","Hispanic",0.845664421083423,0.075597847246816
"134","Moderate","Female","Old","High","White",0.956199682586534,0.0837006169675822
"135","Moderate","Male","Old","High","White",0.936690160718161,0.192118425531355
"136","Moderate","Female","Old","Moderate","White",0.928185073424489,0.0711449138818776
"137","Conservative","Male","Old","Moderate","White",0.930073127671992,0.106795096234065
"138","Moderate","Male","Old","High","White",0.936770413687293,0.23763729365823
"139","Conservative","Female","Middle-aged","High","White",0.92981784989855,0.127171901629761
"140","Very conservative","Female","Old","High","White",0.950411848912811,0.103582608418446
"141","Liberal","Female","Old","High","White",0.936385159338705,0.10370126064946
"142","Moderate","Male","Old","Low","White",0.910037206038278,0.0616908417357539
"143","Conservative","Female","Old","High","White",0.957113849182816,0.0918448077647029
"144","Liberal","Male","Old","High","White",0.935451848933728,0.219692591099549
"145","Moderate","Male","Old","High","Hispanic",0.843302415964993,0.142629302907803
"146","Conservative","Male","Old","High","Hispanic",0.864171020632452,0.0737327042662812
"147","Moderate","Male","Old","High","White",0.94634047898519,0.231978434540477
"148","Moderate","Female","Old","Low","White",0.907309000404686,0.0345022510714768
"149","Liberal","Male","Old","High","White",0.924000545543505,0.18144488313718
"150","Moderate","Female","Middle-aged","High","White",0.930091641468756,0.146558341453251
"151","Liberal","Female","Old","High","White",0.956431843408809,0.123670119708947
"152","Conservative","Female","Old","Moderate","Hispanic",0.871509914999281,0.0241354330886397
"153","Conservative","Male","Old","Moderate","White",0.917649229373503,0.0670032432345771
"154","Conservative","Female","Old","High","Hispanic",0.874866342805397,0.0677588845727084
"155","Very conservative","Male","Old","High","White",0.939177979494075,0.181923958979377
"156","Liberal","Female","Middle-aged","High","White",0.931960239198062,0.167701184161383
"157","Liberal","Female","Old","Low","White",0.941695176247422,0.0285289945633591
"158","Very conservative","Male","Old","Moderate","White",0.909680922721487,0.0963238764066786
"159","Moderate","Female","Old","High","Black",0.950995877481329,0.0966024943354889
"160","Very conservative","Male","Old","High","White",0.913796167668788,0.121625413335665
"161","Liberal","Female","Old","High","White",0.937852197190967,0.103283789348444
"162","Liberal","Female","Old","High","White",0.955324768009355,0.0975936929498054
"163","Moderate","Male","Old","Moderate","White",0.937993302186834,0.121099816401337
"164","Conservative","Male","Old","High","White",0.926856378775353,0.136546079041809
"165","Liberal","Female","Old","High","White",0.971068967918216,0.14629134939269
"166","Liberal","Male","Old","High","Hispanic",0.873931776839537,0.157855560767897
"167","Moderate","Male","Old","Low","White",0.941976296324275,0.0569237492126903
"168","Conservative","Male","Old","High","White",0.931933246790418,0.211397240629831
"169","Moderate","Female","Middle-aged","High","White",0.909827039043685,0.0950383304558919
"170","Liberal","Male","Old","Moderate","White",0.935288130276465,0.140793876342332
"171","Very conservative","Female","Old","Moderate","White",0.911061169113621,0.0542985707553414
"172","Moderate","Female","Old","High","White",0.957341380692558,0.135129863095173
"173","Moderate","Female","Old","High","White",0.95520301239017,0.107362394994666
"174","Liberal","Male","Old","High","White",0.958830297822276,0.25306673786257
"175","Very liberal","Female","Middle-aged","High","Hispanic",0.799740279862043,0.116591484403194
"176","Very liberal","Female","Young","Low","Hispanic",0.623671017617615,0.029558246772876
"177","Moderate","Female","Old","Moderate","White",0.93454678027581,0.069964687849933
"178","Moderate","Female","Old","Moderate","White",0.915456217259633,0.0439822389157201
"179","Moderate","Female","Old","Low","White",0.92956152089401,0.0327481257453362
"180","Conservative","Female","Old","Low","White",0.93849452921421,0.0272001597645195
"181","Liberal","Male","Middle-aged","High","White",0.93087972005774,0.272230825568309
"182","Very conservative","Female","Old","High","White",0.956940988862209,0.0790256065057141
"183","Very liberal","Non-binary","Young","High","White",0.905925078008026,0.120379194180181
"184","Very liberal","Male","Old","High","White",0.96695513452931,0.27718406992685
"185","Conservative","Male","Old","High","White",0.954349609061045,0.198926833592283
"186","Liberal","Male","Old","High","White",0.964339242860615,0.247997757911757
"187","Conservative","Female","Old","High","White",0.92964091608274,0.0781716417134794
"188","Conservative","Male","Old","Moderate","White",0.936198229681639,0.0822223037448326
"189","Conservative","Male","Old","Moderate","White",0.931675107604511,0.106366648106755
"190","Moderate","Male","Old","Low","White",0.930082290844787,0.0588872418596868
"191","Liberal","Female","Middle-aged","High","White",0.914372371248854,0.174075708735144
"192","Very liberal","Female","Old","Low","White",0.951970950757006,0.0419301881257894
"193","Moderate","Male","Old","High","White",0.951178488274975,0.22878731059209
"194","Moderate","Male","Middle-aged","High","White",0.910479660202646,0.162541602969684
"195","Moderate","Female","Old","High","White",0.94332988783258,0.1415653510176
"196","Conservative","Male","Middle-aged","Moderate","White",0.896897088801463,0.0896399491393299
"197","Very liberal","Female","Middle-aged","High","White",0.904473481808558,0.202592381762138
"198","Liberal","Male","Middle-aged","Moderate","White",0.910711608805003,0.1485879838581
"199","Moderate","Male","Old","Moderate","White",0.942124141230878,0.0939628089851183
"200","Very liberal","Male","Old","High","White",0.959963798825124,0.284453498134449
"201","Conservative","Male","Middle-aged","Moderate","Hispanic",0.690402202014462,0.0530008321545751
"202","Liberal","Female","Old","Moderate","White",0.943337419680316,0.079447061707578
"203","Very liberal","Female","Middle-aged","High","Hispanic",0.807596139000414,0.115667799427094
"204","Moderate","Female","Old","High","White",0.926599868235169,0.0916121275450471
"205","Very conservative","Male","Old","Moderate","White",0.89867178707358,0.0596638841318569
"206","Very conservative","Female","Middle-aged","Moderate","White",0.888447973203184,0.0337746293584569
"207","Liberal","Female","Old","High","White",0.949764981361108,0.126625791204504
"208","Moderate","Male","Middle-aged","Low","White",0.877130622051417,0.0654394580232269
"209","Very liberal","Male","Middle-aged","Moderate","White",0.87290091823325,0.144302121559607
"210","Very liberal","Male","Middle-aged","Moderate","Hispanic",0.728868126774542,0.08155149332506
"211","Very liberal","Male","Young","Moderate","Asian",0.74298667906632,0.096927137769849
"212","Moderate","Female","Old","Low","White",0.951585127509801,0.0305428636204044
"213","Very liberal","Male","Young","Moderate","Hispanic",0.708745757946711,0.0829097514724094
"214","Very liberal","Female","Old","High","White",0.957683371667305,0.178337412719103
"215","Moderate","Male","Old","High","Black",0.900166603537362,0.116793450170673
"216","Conservative","Female","Old","High","White",0.927994927580728,0.0784964954755112
"217","Very liberal","Male","Young","High","Hispanic",0.73963984736021,0.206206738649365
"218","Liberal","Male","Old","Moderate","White",0.932208292480041,0.141886016987777
"219","Moderate","Male","Middle-aged","Moderate","White",0.892604287965341,0.104828015653056
"220","Very liberal","Male","Young","High","White",0.858930265666706,0.279764331553474
"221","Moderate","Female","Middle-aged","Moderate","Black",0.879803195067025,0.0535573466942203
"222","Moderate","Male","Middle-aged","Moderate","Hispanic",0.712415545376426,0.0782751404876356
"223","Conservative","Male","Old","High","White",0.931761254639769,0.134962382846147
"224","Moderate","Female","Old","High","Hispanic",0.860769952591958,0.0485198284018102
"225","Conservative","Female","Old","Low","White",0.946572992021271,0.0264948562033196
"226","Conservative","Male","Old","Moderate","White",0.93627906381262,0.105090378882379
