"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"87","Moderate","Male","Old","High","White",0.999538646759354,0.720468579077684
"88","Liberal","Female","Old","High","White",0.999609563304388,0.703022851039193
"89","Conservative","Female","Old","Low","White",0.998093501980915,0.745273738334347
"90","Moderate","Female","Old","High","White",0.999611880817657,0.734488542057547
"91","Moderate","Female","Middle-aged","Moderate","White",0.996300491362197,0.681224213175586
"92","Liberal","Male","Old","High","White",0.999488960243993,0.679156756753626
"93","Moderate","Male","Old","Moderate","White",0.998264916414367,0.69867675417986
"94","Very conservative","Female","Old","High","White",0.997684241372225,0.763927801507339
"95","Moderate","Male","Old","Moderate","Black",0.985043921136072,0.63454473238303
"96","Very conservative","Female","Old","High","White",0.998761290512659,0.778639263568034
"97","Conservative","Male","Old","High","White",0.998369420344481,0.729115001315807
"98","Liberal","Female","Old","High","White",0.998769151004072,0.670135971581808
"99","Moderate","Female","Old","Low","White",0.997113651935981,0.697403728335033
"100","Moderate","Male","Middle-aged","Low","White",0.882459340226831,0.568964404668623
"101","Moderate","Female","Old","Moderate","White",0.998619815423829,0.711993185679456
"102","Moderate","Male","Old","High","White",0.999216155932925,0.711868063072033
"103","Liberal","Male","Old","High","Hispanic",0.998117059475834,0.639825719688284
"104","Very liberal","Female","Old","High","White",0.999832392952469,0.681955218831527
"105","Very conservative","Male","Old","Moderate","White",0.996921521896528,0.753414304589587
"106","Conservative","Female","Old","Low","White",0.997107530838335,0.734573033524638
"107","Liberal","Female","Old","High","White",0.999667514211812,0.704534994959384
"108","Moderate","Male","Old","High","White",0.998751417239991,0.695997236932664
"109","Conservative","Male","Middle-aged","Low","White",0.963289677804292,0.651910828596246
"110","Conservative","Female","Old","Moderate","White",0.998548700553111,0.7441242598092
"111","Conservative","Male","Old","Moderate","White",0.998356213142306,0.734454061954315
"112","Very conservative","Female","Old","Moderate","White",0.998819498108594,0.782161452563532
"113","Liberal","Female","Old","High","White",0.999919147241681,0.739443510021381
"114","Very liberal","Female","Middle-aged","High","White",0.991130675939037,0.565043452506336
"115","Moderate","Female","Old","Low","White",0.998870660102084,0.723140404866562
"116","Moderate","Female","Old","High","White",0.999685032253788,0.739875698956876
"117","Moderate","Male","Old","Moderate","White",0.998731101280182,0.707384292018517
"118","Moderate","Female","Old","Moderate","White",0.999335201000957,0.731531344239931
"119","Conservative","Male","Middle-aged","High","White",0.976092564424101,0.645988888017235
"120","Very liberal","Male","Middle-aged","High","White",0.993421986925131,0.5596865166746
"121","Very conservative","Female","Old","High","Hispanic",0.998019831489603,0.7673999218667
"122","Conservative","Male","Middle-aged","High","White",0.989981156110449,0.675514023967197
"123","Conservative","Male","Old","Moderate","White",0.995113311811906,0.702191563496981
"124","Conservative","Female","Old","Moderate","White",0.999138636392907,0.757134220402665
"125","Liberal","Female","Old","High","Asian",0.999297690281263,0.686197611963242
