"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"87","Moderate","Male","Old","High","White",0.990244848211986,0.767307090374233
"88","Liberal","Female","Old","High","White",0.996797342027234,0.805629840136011
"89","Conservative","Female","Old","Low","White",0.986703673883049,0.8235298563325
"90","Moderate","Female","Old","High","White",0.995507292400523,0.789763807826616
"91","Moderate","Female","Middle-aged","Moderate","White",0.986435401588813,0.798794364615291
"92","Liberal","Male","Old","High","White",0.992606329181059,0.76743060413902
"93","Moderate","Male","Old","Moderate","White",0.981749840297953,0.798643468706539
"94","Very conservative","Female","Old","High","White",0.979255818162699,0.792565298604891
"95","Moderate","Male","Old","Moderate","Black",0.934779381973818,0.797447808582473
"96","Very conservative","Female","Old","High","White",0.984764001951404,0.796450554798947
"97","Conservative","Male","Old","High","White",0.975099557460077,0.774624972109132
"98","Liberal","Female","Old","High","White",0.994316607788276,0.798706692590863
"99","Moderate","Female","Old","Low","White",0.988217973475836,0.821895250952075
"100","Moderate","Male","Middle-aged","Low","White",0.860058135068494,0.779040877418406
"101","Moderate","Female","Old","Moderate","White",0.991740223725568,0.812037752375905
"102","Moderate","Male","Old","High","White",0.987459339308446,0.780234852067843
"103","Liberal","Male","Old","High","Hispanic",0.977536748978334,0.784831009775253
"104","Very liberal","Female","Old","High","White",0.998474022732099,0.796498050974177
"105","Very conservative","Male","Old","Moderate","White",0.953883260560678,0.785810864899375
"106","Conservative","Female","Old","Low","White",0.983655849119159,0.821212344826916
"107","Liberal","Female","Old","High","White",0.997026970041596,0.799145088048619
"108","Moderate","Male","Old","High","White",0.984118242008035,0.768940332955846
"109","Conservative","Male","Middle-aged","Low","White",0.892090897385424,0.786343342972506
"110","Conservative","Female","Old","Moderate","White",0.988179550821309,0.803736699540304
"111","Conservative","Male","Old","Moderate","White",0.975289386839112,0.790561398618254
"112","Very conservative","Female","Old","Moderate","White",0.985209209638717,0.804252702895738
"113","Liberal","Female","Old","High","White",0.998525931708858,0.800217613359285
"114","Very liberal","Female","Middle-aged","High","White",0.989028460429121,0.787099407920185
"115","Moderate","Female","Old","Low","White",0.992613219519238,0.827060753740263
"116","Moderate","Female","Old","High","White",0.99595223692431,0.791077885019675
"117","Moderate","Male","Old","Moderate","White",0.984361689574516,0.800550157578513
"118","Moderate","Female","Old","Moderate","White",0.994260611583631,0.816238789411429
"119","Conservative","Male","Middle-aged","High","White",0.908728899065918,0.738423340742878
"120","Very liberal","Male","Middle-aged","High","White",0.981155596799155,0.759180706261449
"121","Very conservative","Female","Old","High","Hispanic",0.969561584022953,0.817002819458805
"122","Conservative","Male","Middle-aged","High","White",0.939759142900239,0.753683124207846
"123","Conservative","Male","Old","Moderate","White",0.957779156301127,0.775532124047594
"124","Conservative","Female","Old","Moderate","White",0.990877783604414,0.806846168058631
"125","Liberal","Female","Old","High","Asian",0.993892030587194,0.819338560274757
"126","Conservative","Male","Middle-aged","High","White",0.938486511063966,0.76191727690662
"127","Conservative","Male","Middle-aged","Moderate","White",0.894215198081296,0.778708613519979
"128","Moderate","Female","Old","Moderate","White",0.996997597324216,0.816647767177002
"129","Conservative","Female","Old","Moderate","White",0.985890063702798,0.808885136804558
"130","Conservative","Male","Old","High","White",0.988988152351633,0.769302068443274
"131","Moderate","Female","Middle-aged","High","White",0.985918043029024,0.774909499165518
"132","Liberal","Female","Old","High","White",0.997640475851372,0.794449601877824
"133","Conservative","Male","Old","High","Hispanic",0.945592690193127,0.795531464972126
"134","Moderate","Female","Old","High","White",0.996740310436068,0.808609397498313
"135","Moderate","Male","Old","High","White",0.977245876423267,0.763970666138873
"136","Moderate","Female","Old","Moderate","White",0.990559093298543,0.803219668776075
"137","Conservative","Male","Old","Moderate","White",0.965483088713942,0.778281892626054
"138","Moderate","Male","Old","High","White",0.976566671040437,0.755051948597292
"139","Conservative","Female","Middle-aged","High","White",0.987076609902667,0.779596393335495
"140","Very conservative","Female","Old","High","White",0.992168125552998,0.789533953785949
"141","Liberal","Female","Old","High","White",0.994316607788276,0.798706692590863
"142","Moderate","Male","Old","Low","White",0.957912187419962,0.795636686615273
"143","Conservative","Female","Old","High","White",0.995787870859933,0.801459463246829
"144","Liberal","Male","Old","High","White",0.981785877812805,0.763379717753662
"145","Moderate","Male","Old","High","Hispanic",0.95357062275536,0.778622354574074
"146","Conservative","Male","Old","High","Hispanic",0.959671297844248,0.799375227980617
"147","Moderate","Male","Old","High","White",0.983640741112211,0.760150445908447
